Sentence,JSON
@VirginAmerica What @dhepburn said.,"{""reasoning"": ""The sentiment is neutral based on the content of the tweet."", ""sentiment"": 0.0, ""confidence"": 1.0}"
@VirginAmerica plus you've added commercials to the experience... tacky.,"{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 0.35}"
@VirginAmerica I didn't today... Must mean I need to take another trip!,"{""reasoning"": ""The sentiment is neutral based on the content of the tweet."", ""sentiment"": 0.0, ""confidence"": 0.68}"
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse","{""reasoning"": ""The sentiment is negative based on the content of the tweet."", ""sentiment"": -1.0, ""confidence"": 1.0}"
@VirginAmerica and it's a really big bad thing about it,"{""reasoning"": ""The sentiment is negative based on the content of the tweet."", ""sentiment"": -1.0, ""confidence"": 1.0}"
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA","{""reasoning"": ""The sentiment is negative based on the content of the tweet."", ""sentiment"": -1.0, ""confidence"": 1.0}"
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 0.67}"
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","{""reasoning"": ""The sentiment is neutral based on the content of the tweet."", ""sentiment"": 0.0, ""confidence"": 0.63}"
"@virginamerica Well, I didn't…but NOW I DO! :-D","{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 0.66}"
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 1.0}"
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,"{""reasoning"": ""The sentiment is neutral based on the content of the tweet."", ""sentiment"": 0.0, ""confidence"": 0.68}"
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,"{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 1.0}"
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,"{""reasoning"": ""The sentiment is positive based on the content of the tweet."", ""sentiment"": 1.0, ""confidence"": 1.0}"
